Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-19 14:46:03,NSE:POWERINDIA,Dashboard,NSE_EQ|INE07Y701011,33480.0,56.44,62.34,-5.89,2026-08-19 14:00,18.22,46.04,-27.82,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 56.44 > 50 + Hourly RSI 18.22 < 30
2026-08-19 14:45:04,NSE:ABB,Dashboard,NSE_EQ|INE117A01022,7413.0,58.94,63.4,-4.46,2026-08-19 14:00,21.74,32.24,-10.5,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 58.94 > 50 + Hourly RSI 21.74 < 30
2026-08-19 14:45:35,NSE:EXIDEIND,Dashboard,NSE_EQ|INE302A01020,461.15,67.05,72.72,-5.67,2026-08-19 14:00,23.76,28.44,-4.68,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 67.05 > 50 + Hourly RSI 23.76 < 30
2026-08-19 14:46:22,NSE:WOCKPHARMA,Dashboard,NSE_EQ|INE049B01025,1828.6,55.03,60.66,-5.63,2026-08-19 14:00,25.73,33.14,-7.41,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 55.03 > 50 + Hourly RSI 25.73 < 30
2026-08-19 14:45:15,NSE:ATHERENERG,Dashboard,NSE_EQ|INE0LEZ01016,1445.2,74.46,80.74,-6.28,2026-08-19 14:00,26.86,34.65,-7.78,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 74.46 > 50 + Hourly RSI 26.86 < 30
2026-08-19 14:45:06,NSE:ADANIENSOL,Dashboard,NSE_EQ|INE931S01010,1543.9,59.69,66.09,-6.4,2026-08-19 14:00,29.94,50.05,-20.11,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 59.69 > 50 + Hourly RSI 29.94 < 30
2026-08-19 14:45:44,NSE:HSCL,Dashboard,NSE_EQ|INE019C01026,754.65,67.1,72.38,-5.28,2026-08-19 14:00,30.03,48.21,-18.18,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 30.03 is 30-50
2026-08-19 14:45:33,NSE:EICHERMOT,Dashboard,NSE_EQ|INE066A01021,7951.5,61.51,64.56,-3.05,2026-08-19 14:00,32.66,41.29,-8.62,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 32.66 is 30-50
2026-08-19 14:45:34,NSE:ENRIN,Dashboard,NSE_EQ|INE1NPP01017,3486.9,54.58,55.76,-1.18,2026-08-19 14:00,34.6,52.39,-17.79,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 34.60 is 30-50
2026-08-19 14:45:37,NSE:GRANULES,Dashboard,NSE_EQ|INE101D01020,845.0,63.9,66.43,-2.53,2026-08-19 14:00,34.77,43.5,-8.73,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 34.77 is 30-50
2026-08-19 14:46:26,KALYANKJIL,🔥🔥🔥,NSE_EQ|INE303R01014,593.9,68.76,71.82,-3.06,2026-08-19 14:00,35.11,42.88,-7.78,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.11 is 30-50
2026-08-19 14:45:41,NSE:HEROMOTOCO,Dashboard,NSE_EQ|INE158A01026,5674.0,60.4,63.79,-3.39,2026-08-19 14:00,35.15,45.14,-9.99,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.15 is 30-50
2026-08-19 14:45:36,NSE:GLAND,Dashboard,NSE_EQ|INE068V01023,2838.7,72.27,79.58,-7.31,2026-08-19 14:00,35.71,38.84,-3.13,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.71 is 30-50
2026-08-19 14:45:50,NSE:LALPATHLAB,Dashboard,NSE_EQ|INE600L01024,1886.1,69.37,72.68,-3.31,2026-08-19 14:00,36.57,40.23,-3.65,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 36.57 is 30-50
2026-08-19 14:45:56,NSE:MTARTECH,Dashboard,NSE_EQ|INE864I01014,6926.0,59.03,60.33,-1.3,2026-08-19 14:00,37.06,50.78,-13.73,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.06 is 30-50
2026-08-19 14:45:17,NSE:BAJAJ-AUTO,Dashboard,NSE_EQ|INE917I01010,11589.0,69.71,72.08,-2.37,2026-08-19 14:00,38.65,40.44,-1.79,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 38.65 is 30-50
2026-08-19 14:46:10,NSE:SAREGAMA,Dashboard,NSE_EQ|INE979A01025,510.55,67.28,73.5,-6.22,2026-08-19 14:00,38.66,40.86,-2.2,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 38.66 is 30-50
2026-08-19 14:46:15,NSE:TIPSMUSIC,Dashboard,NSE_EQ|INE716B01029,651.4,52.56,55.56,-3.0,2026-08-19 14:00,39.21,43.41,-4.2,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 39.21 is 30-50
2026-08-19 14:45:52,NSE:LLOYDSME,Dashboard,NSE_EQ|INE281B01032,1912.5,62.9,63.36,-0.46,2026-08-19 14:00,40.3,52.13,-11.83,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.30 is 30-50
2026-08-19 14:45:51,NSE:LAURUSLABS,Dashboard,NSE_EQ|INE947Q01028,1801.8,80.04,79.62,0.42,2026-08-19 14:00,40.37,47.62,-7.25,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.37 is 30-50
2026-08-19 14:46:09,NSE:SAILIFE,Dashboard,NSE_EQ|INE570L01029,1421.9,75.87,80.21,-4.34,2026-08-19 14:00,40.44,53.07,-12.63,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.44 is 30-50
2026-08-19 14:45:16,NSE:AUROPHARMA,Dashboard,NSE_EQ|INE406A01037,1619.5,66.73,67.08,-0.35,2026-08-19 14:00,40.9,54.3,-13.4,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.90 is 30-50
2026-08-19 14:45:19,NSE:BDL,Dashboard,NSE_EQ|INE171Z01026,1352.8,51.4,54.58,-3.18,2026-08-19 14:00,41.83,63.04,-21.21,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.83 is 30-50
2026-08-19 14:45:21,NSE:BHARATFORG,Dashboard,NSE_EQ|INE465A01025,2066.5,57.54,57.47,0.07,2026-08-19 14:00,41.93,55.11,-13.18,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.93 is 30-50
2026-08-19 14:45:14,NSE:ASTRAMICRO,Dashboard,NSE_EQ|INE386C01029,1701.1,64.84,67.72,-2.88,2026-08-19 14:00,42.42,68.18,-25.77,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.42 is 30-50
2026-08-19 14:45:49,NSE:KIRLOSENG,Dashboard,NSE_EQ|INE146L01010,2077.3,58.03,58.99,-0.95,2026-08-19 14:00,42.62,58.38,-15.76,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.62 is 30-50
2026-08-19 14:45:57,NSE:NETWEB,Dashboard,NSE_EQ|INE0NT901020,5078.0,64.69,63.88,0.81,2026-08-19 14:00,43.01,64.56,-21.54,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.01 is 30-50
2026-08-19 14:45:13,NSE:ASHOKLEY,Dashboard,NSE_EQ|INE208A01029,174.09,55.25,54.11,1.14,2026-08-19 14:00,43.66,51.25,-7.59,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.66 is 30-50
2026-08-19 14:45:22,NSE:BHEL,Dashboard,NSE_EQ|INE257A01026,420.1,64.93,65.48,-0.55,2026-08-19 14:00,43.75,51.15,-7.4,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.75 is 30-50
2026-08-19 14:45:12,NSE:APARINDS,Dashboard,NSE_EQ|INE372A01015,16605.0,70.77,71.49,-0.73,2026-08-19 14:00,44.26,63.25,-18.99,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 44.26 is 30-50
2026-08-19 14:46:11,NSE:SOLARINDS,Dashboard,NSE_EQ|INE343H01029,19621.0,68.12,71.31,-3.19,2026-08-19 14:00,44.31,64.82,-20.51,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 44.31 is 30-50
2026-08-19 14:45:46,NSE:INOXINDIA,Dashboard,NSE_EQ|INE616N01034,1939.2,72.41,72.81,-0.41,2026-08-19 14:00,44.96,56.92,-11.96,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 44.96 is 30-50
2026-08-19 14:45:10,NSE:ALIVUS,Dashboard,NSE_EQ|INE03Q201024,1376.0,76.81,78.4,-1.59,2026-08-19 14:00,45.7,57.75,-12.05,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.70 is 30-50
2026-08-19 14:46:27,CYIENTDLM,🔥🔥🔥,NSE_EQ|INE055S01018,718.3,85.31,84.23,1.08,2026-08-19 14:00,45.7,60.18,-14.47,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.70 is 30-50
2026-08-19 14:45:28,NSE:CYIENTDLM,Dashboard,NSE_EQ|INE055S01018,718.75,85.33,84.23,1.1,2026-08-19 14:00,45.94,60.18,-14.23,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.94 is 30-50
2026-08-19 14:45:01,NSE:OFSS,Volume Shocker,NSE_EQ|INE881D01027,11680.0,66.25,68.0,-1.75,2026-08-19 14:00,46.21,41.04,5.17,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 46.21 is 30-50
2026-08-19 14:45:43,NSE:HONASA,Dashboard,NSE_EQ|INE0J5401028,477.5,69.73,79.48,-9.75,2026-08-19 14:00,46.38,41.82,4.56,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 46.38 is 30-50
2026-08-19 14:44:54,NSE:LGEINDIA,IPO,NSE_EQ|INE324D01010,1644.0,54.49,60.65,-6.17,2026-08-19 14:00,46.66,47.1,-0.43,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 46.66 is 30-50
2026-08-19 14:45:39,NSE:HAL,Dashboard,NSE_EQ|INE066F01020,5027.0,67.27,67.39,-0.12,2026-08-19 14:00,47.28,65.53,-18.25,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.28 is 30-50
2026-08-19 14:45:59,NSE:NEULANDLAB,Dashboard,NSE_EQ|INE794A01010,23228.0,76.82,77.48,-0.66,2026-08-19 14:00,47.58,55.44,-7.85,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.58 is 30-50
2026-08-19 14:44:58,NSE:HAPPSTMNDS,Volume Shocker,NSE_EQ|INE419U01012,412.45,55.13,57.49,-2.35,2026-08-19 14:00,47.79,55.57,-7.77,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.79 is 30-50
2026-08-19 14:45:54,NSE:MIDHANI,Dashboard,NSE_EQ|INE099Z01011,427.75,57.95,55.61,2.34,2026-08-19 14:00,48.09,57.81,-9.72,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 48.09 is 30-50
2026-08-19 14:45:53,NSE:M&M,Dashboard,NSE_EQ|INE101A01026,3415.6,57.04,57.67,-0.63,2026-08-19 14:00,48.43,50.61,-2.18,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 48.43 is 30-50
2026-08-19 14:46:02,NSE:POLYMED,Dashboard,NSE_EQ|INE205C01021,1774.4,59.82,60.67,-0.85,2026-08-19 14:00,48.6,52.21,-3.61,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 48.60 is 30-50
2026-08-19 14:46:41,HEG,52weekHigh,NSE_EQ|INE545A01024,707.2,68.44,67.84,0.6,2026-08-19 14:00,49.6,71.99,-22.39,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 49.60 is 30-50
2026-08-19 14:46:32,TBOTEK,🔥,NSE_EQ|INE673O01025,1669.3,66.46,64.84,1.62,2026-08-19 14:00,49.87,63.2,-13.33,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 49.87 is 30-50
2026-08-19 14:46:17,NSE:TVSMOTOR,Dashboard,NSE_EQ|INE494B01023,4363.0,68.25,67.22,1.03,2026-08-19 14:00,50.35,48.07,2.28,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.35 >= 50
2026-08-19 14:45:02,NSE:REDINGTON,Volume Shocker,NSE_EQ|INE891D01026,335.0,65.13,64.98,0.15,2026-08-19 14:00,50.41,27.89,22.52,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.41 >= 50
2026-08-19 14:45:26,NSE:COHANCE,Dashboard,NSE_EQ|INE03QK01018,449.0,50.12,48.6,1.53,2026-08-19 14:00,50.59,58.33,-7.73,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.59 >= 50
2026-08-19 14:45:31,NSE:DIVISLAB,Dashboard,NSE_EQ|INE361B01024,8531.0,83.8,83.42,0.38,2026-08-19 14:00,50.82,59.33,-8.51,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.82 >= 50
2026-08-19 14:45:08,NSE:AJANTPHARM,Dashboard,NSE_EQ|INE031B01049,3680.8,74.53,74.35,0.18,2026-08-19 14:00,50.83,58.71,-7.88,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.83 >= 50
2026-08-19 14:46:20,NSE:VIJAYA,Dashboard,NSE_EQ|INE043W01024,1490.5,70.37,69.58,0.79,2026-08-19 14:00,50.9,51.65,-0.75,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.90 >= 50
2026-08-19 14:45:38,NSE:GRSE,Dashboard,NSE_EQ|INE382Z01011,2637.8,51.16,50.27,0.89,2026-08-19 14:00,51.12,67.66,-16.53,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.12 >= 50
2026-08-19 14:45:03,NSE:AARTIIND,Dashboard,NSE_EQ|INE769A01020,527.75,64.28,66.17,-1.89,2026-08-19 14:00,51.69,56.55,-4.86,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.69 >= 50
2026-08-19 14:46:07,NSE:RKFORGE,Dashboard,NSE_EQ|INE399G01023,747.8,73.67,72.4,1.27,2026-08-19 14:00,52.17,56.38,-4.21,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.17 >= 50
2026-08-19 14:46:01,NSE:PFOCUS,Dashboard,NSE_EQ|INE367G01038,278.25,54.9,52.7,2.21,2026-08-19 14:00,52.68,67.09,-14.41,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.68 >= 50
2026-08-19 14:46:23,NSE:ZEEL,,NSE_EQ|INE256A01028,102.64,52.18,51.98,0.2,2026-08-19 14:00,52.78,63.6,-10.82,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.78 >= 50
2026-08-19 14:46:18,NSE:UNIMECH,Dashboard,NSE_EQ|INE0U3I01011,1500.5,73.91,76.02,-2.11,2026-08-19 14:00,52.87,61.66,-8.79,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.87 >= 50
2026-08-19 14:46:28,UNIMECH,🔥🔥,NSE_EQ|INE0U3I01011,1500.5,73.91,76.02,-2.11,2026-08-19 14:00,52.87,61.66,-8.79,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.87 >= 50
2026-08-19 14:46:37,PAYTM,,NSE_EQ|INE982J01020,1588.8,72.21,73.5,-1.29,2026-08-19 14:00,53.01,30.72,22.29,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.01 >= 50
2026-08-19 14:46:04,NSE:PPLPHARMA,Dashboard,NSE_EQ|INE0DK501011,209.82,69.98,68.79,1.18,2026-08-19 14:00,53.27,55.48,-2.21,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.27 >= 50
2026-08-19 14:46:06,NSE:RADICO,Dashboard,NSE_EQ|INE944F01028,4668.7,86.83,86.65,0.18,2026-08-19 14:00,53.71,72.23,-18.52,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.71 >= 50
2026-08-19 14:46:30,HFCL,🔥🔥,NSE_EQ|INE548A01028,226.78,77.1,76.42,0.69,2026-08-19 14:00,54.65,64.76,-10.11,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 54.65 >= 50
2026-08-19 14:45:42,NSE:HFCL,Dashboard,NSE_EQ|INE548A01028,226.79,77.1,76.42,0.69,2026-08-19 14:00,54.67,64.76,-10.09,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 54.67 >= 50
2026-08-19 14:44:56,NSE:FINCABLES,Volume Shocker,NSE_EQ|INE235A01022,1299.05,68.09,65.91,2.18,2026-08-19 14:00,55.7,66.24,-10.54,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 55.70 >= 50
2026-08-19 14:46:05,NSE:PVRINOX,Dashboard,NSE_EQ|INE191H01014,1199.3,70.42,68.44,1.98,2026-08-19 14:00,55.71,59.74,-4.04,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 55.71 >= 50
2026-08-19 14:45:11,NSE:ANANDRATHI,Dashboard,NSE_EQ|INE463V01026,2188.3,75.44,74.94,0.51,2026-08-19 14:00,55.73,62.92,-7.19,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 55.73 >= 50
2026-08-19 14:45:48,NSE:JINDALSAW,Dashboard,NSE_EQ|INE324A01032,270.2,62.16,61.27,0.88,2026-08-19 14:00,55.95,56.13,-0.17,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 55.95 >= 50
2026-08-19 14:46:29,SYRMA,🔥🔥,NSE_EQ|INE0DYJ01015,1493.4,70.41,69.38,1.04,2026-08-19 14:00,56.24,60.28,-4.05,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 56.24 >= 50
2026-08-19 14:46:14,NSE:SYRMA,Dashboard,NSE_EQ|INE0DYJ01015,1493.5,70.42,69.38,1.04,2026-08-19 14:00,56.3,60.28,-3.99,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 56.30 >= 50
2026-08-19 14:44:55,NSE:ASTRAL,Volume Shocker,NSE_EQ|INE006I01046,1540.0,53.39,54.8,-1.41,2026-08-19 14:00,57.2,44.08,13.12,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 57.20 >= 50
2026-08-19 14:46:19,NSE:UNOMINDA,Dashboard,NSE_EQ|INE405E01023,1269.2,60.74,58.51,2.23,2026-08-19 14:00,58.13,63.11,-4.98,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 58.13 >= 50
2026-08-19 14:46:36,ZENTEC,,NSE_EQ|INE251B01027,1932.5,61.57,58.95,2.62,2026-08-19 14:00,59.79,81.31,-21.52,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 59.79 >= 50
2026-08-19 14:46:24,NSE:ZENTEC,,NSE_EQ|INE251B01027,1933.4,61.59,58.95,2.65,2026-08-19 14:00,60.07,81.31,-21.25,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.07 >= 50
2026-08-19 14:45:18,NSE:BALRAMCHIN,Dashboard,NSE_EQ|INE119A01028,652.85,73.61,70.0,3.61,2026-08-19 14:00,60.25,62.64,-2.39,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.25 >= 50
2026-08-19 14:46:34,AKUMS,🟢,NSE_EQ|INE09XN01023,754.8,73.12,70.84,2.27,2026-08-19 14:00,60.32,52.66,7.66,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.32 >= 50
2026-08-19 14:45:55,NSE:MOTHERSON,Dashboard,NSE_EQ|INE775A01035,170.2,74.87,74.11,0.77,2026-08-19 14:00,60.48,62.48,-1.99,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.48 >= 50
2026-08-19 14:45:09,NSE:AKUMS,Dashboard,NSE_EQ|INE09XN01023,755.4,73.16,70.84,2.32,2026-08-19 14:00,60.72,52.66,8.06,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.72 >= 50
2026-08-19 14:46:33,NAUKRI,🟢,NSE_EQ|INE663F01032,1366.9,71.51,70.25,1.26,2026-08-19 14:00,60.9,53.34,7.56,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 60.90 >= 50
2026-08-19 14:45:00,NSE:NAZARA,Volume Shocker,NSE_EQ|INE418L01047,359.1,73.37,72.74,0.63,2026-08-19 14:00,62.22,51.03,11.19,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 62.22 >= 50
2026-08-19 14:45:27,NSE:CRAFTSMAN,Dashboard,NSE_EQ|INE00LO01017,10788.5,70.78,67.26,3.52,2026-08-19 14:00,64.04,74.75,-10.7,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 64.04 >= 50
2026-08-19 14:45:20,NSE:BEML,Dashboard,NSE_EQ|INE258A01024,1958.0,59.94,55.84,4.1,2026-08-19 14:00,64.77,66.29,-1.51,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 64.77 >= 50
2026-08-19 14:45:24,NSE:CAPLIPOINT,Dashboard,NSE_EQ|INE475E01026,2571.7,68.5,65.35,3.15,2026-08-19 14:00,64.78,54.47,10.31,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 64.78 >= 50
2026-08-19 14:46:12,NSE:SONACOMS,Dashboard,NSE_EQ|INE073K01018,822.0,78.45,76.35,2.09,2026-08-19 14:00,64.91,68.19,-3.28,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 64.91 >= 50
