Symbol,Tag
NSE:LGEINDIA,Volume Shocker
NSE:ASTRAL,Volume Shocker
NSE:FINCABLES,Volume Shocker
NSE:GODREJAGRO,Volume Shocker
NSE:HAPPSTMNDS,Volume Shocker
NSE:NAZARA,Volume Shocker
NSE:OFSS,Volume Shocker
NSE:AARTIIND,
NSE:ABB,
NSE:ACMESOLAR,
NSE:ADANIENSOL,
NSE:AEGISLOG,
NSE:AJANTPHARM,
NSE:AKUMS,
NSE:ALIVUS,
NSE:ANANDRATHI,
NSE:APARINDS,
NSE:ASHOKLEY,
NSE:ASTERDM,
NSE:ASTRAMICRO,
NSE:ATHERENERG,
NSE:AUROPHARMA,
NSE:BAJAJ-AUTO,
NSE:BALRAMCHIN,
NSE:BDL,
NSE:BEL,
NSE:BHARATFORG,
NSE:BHEL,
NSE:BOSCHLTD,
NSE:CGPOWER,
NSE:CHENNPETRO,
NSE:COHANCE,
NSE:CYIENTDLM,
NSE:DATAPATTNS,
NSE:DIVISLAB,
NSE:DRREDDY,
NSE:DYNAMATECH,
NSE:EICHERMOT,
NSE:ENRIN,
NSE:EXIDEIND,
NSE:FINCABLES,
NSE:GLAND,
NSE:GLENMARK,
NSE:GRANULES,
NSE:GRSE,
NSE:HAL,
NSE:HEROMOTOCO,
NSE:HFCL,
NSE:HONASA,
NSE:HSCL,
NSE:IFCI,
NSE:INOXINDIA,
NSE:IPCALAB,
NSE:J&KBANK,
NSE:JBCHEPHARM,
NSE:JINDALSAW,
NSE:KIRLOSENG,
NSE:LALPATHLAB,
NSE:LAURUSLABS,
NSE:LLOYDSME,
NSE:M&M,
NSE:MANKIND,
NSE:MAZDOCK,
NSE:MIDHANI,
NSE:MOTHERSON,
NSE:MTARTECH,
NSE:NETWEB,
NSE:NEULANDLAB,
NSE:OFSS,
NSE:PARAS,
NSE:POLYMED,
NSE:POWERINDIA,
NSE:RADICO,
NSE:RKFORGE,
NSE:RRKABEL,
NSE:SAILIFE,
NSE:SAREGAMA,
NSE:SOLARINDS,
NSE:SONACOMS,
NSE:SYRMA,
NSE:TORNTPHARM,
NSE:TVSMOTOR,
NSE:UNIMECH,
NSE:UNOMINDA,
NSE:VIJAYA,
NSE:WELCORP,
NSE:WOCKPHARMA,
NSE:ZENTEC,
NSE:ZYDUSLIFE,
NSE:LGEINDIA,
NSE:ASTRAL,
NSE:FINCABLES,
NSE:GODREJAGRO,
NSE:HAPPSTMNDS,
NSE:NAZARA,
NSE:OFSS,
