Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-18 15:14:51,CPPLUS,IPO,NSE_EQ|INE819V01029,3352.4,57.06,72.6,-15.54,2026-09-18 15:00,20.03,21.06,-1.03,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 57.06 > 50 + Hourly RSI 20.03 < 30
2026-09-18 15:16:12,NSE:SOLARINDS,,NSE_EQ|INE343H01029,18830.0,54.16,78.64,-24.48,2026-09-18 15:00,25.56,24.91,0.65,YES,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 54.16 > 50 + Hourly RSI 25.56 < 30
2026-09-18 15:15:14,NSE:CHENNPETRO,,NSE_EQ|INE178A01016,1418.0,63.17,76.68,-13.5,2026-09-18 15:00,32.61,30.89,1.72,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 32.61 is 30-50
2026-09-18 15:16:45,MANYAVAR,Volume Shocker,NSE_EQ|INE825V01034,542.4,60.35,70.04,-9.69,2026-09-18 15:00,33.84,51.63,-17.79,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.84 is 30-50
2026-09-18 15:15:05,NSE:BALRAMCHIN,,NSE_EQ|INE119A01028,672.4,63.45,67.2,-3.75,2026-09-18 15:00,40.25,42.38,-2.12,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.25 is 30-50
2026-09-18 15:16:13,NSE:STYL,,NSE_EQ|INE04VU01023,363.2,54.51,60.54,-6.03,2026-09-18 15:00,40.55,44.07,-3.52,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.55 is 30-50
2026-09-18 15:16:44,BALRAMCHIN,All Time High,NSE_EQ|INE119A01028,673.85,63.72,67.2,-3.48,2026-09-18 15:00,41.41,42.38,-0.97,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.41 is 30-50
2026-09-18 15:16:18,NSE:TECHM,,NSE_EQ|INE669C01036,1540.0,51.08,51.17,-0.08,2026-09-18 15:00,41.49,51.01,-9.52,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.49 is 30-50
2026-09-18 15:16:02,NSE:PERSISTENT,,NSE_EQ|INE262H01021,5437.0,52.04,53.82,-1.78,2026-09-18 15:00,42.06,48.37,-6.31,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.06 is 30-50
2026-09-18 15:15:41,NSE:JINDALSAW,,NSE_EQ|INE324A01032,288.95,60.57,70.56,-9.99,2026-09-18 15:00,42.46,46.54,-4.08,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.46 is 30-50
2026-09-18 15:16:43,JINDALSAW,"Volume Shocker, Watch for Entry",NSE_EQ|INE324A01032,289.05,60.61,70.56,-9.95,2026-09-18 15:00,42.62,46.54,-3.93,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.62 is 30-50
2026-09-18 15:15:43,NSE:LALPATHLAB,,NSE_EQ|INE600L01024,1892.6,65.87,67.7,-1.83,2026-09-18 15:00,42.81,57.28,-14.47,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.81 is 30-50
2026-09-18 15:15:08,NSE:BOSCHLTD,,NSE_EQ|INE323A01026,47700.0,67.69,70.4,-2.71,2026-09-18 15:00,45.35,46.03,-0.67,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.35 is 30-50
2026-09-18 15:15:16,NSE:COFORGE,,NSE_EQ|INE591G01025,1784.3,58.47,62.23,-3.76,2026-09-18 15:00,45.9,49.35,-3.45,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.90 is 30-50
2026-09-18 15:16:14,NSE:SUNPHARMA,,NSE_EQ|INE044A01036,1852.0,50.1,48.74,1.37,2026-09-18 15:00,47.61,61.49,-13.88,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.61 is 30-50
2026-09-18 15:16:57,PCJEWELLER,Volume Shocker,NSE_EQ|INE785M01021,12.76,64.94,72.78,-7.84,2026-09-18 15:00,49.96,37.47,12.49,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 49.96 is 30-50
2026-09-18 15:16:20,NSE:TORNTPHARM,,NSE_EQ|INE685A01028,4860.5,57.51,61.3,-3.8,2026-09-18 15:00,50.49,53.18,-2.69,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.49 >= 50
2026-09-18 15:16:26,NSE:WOCKPHARMA,,NSE_EQ|INE049B01025,2085.5,62.57,68.2,-5.63,2026-09-18 15:00,50.69,50.39,0.3,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.69 >= 50
2026-09-18 15:15:02,NSE:ASTRAMICRO,,NSE_EQ|INE386C01029,1634.5,57.9,61.25,-3.35,2026-09-18 15:00,50.88,41.63,9.25,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.88 >= 50
2026-09-18 15:15:57,NSE:NEULANDLAB,,NSE_EQ|INE794A01010,22895.0,70.0,74.79,-4.79,2026-09-18 15:00,50.88,41.72,9.16,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 50.88 >= 50
2026-09-18 15:16:58,MIDHANI,"Volume Shocker, All Time High",NSE_EQ|INE099Z01011,416.95,53.24,61.98,-8.74,2026-09-18 15:00,51.45,40.44,11.01,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.45 >= 50
2026-09-18 15:15:51,NSE:MIDHANI,,NSE_EQ|INE099Z01011,417.0,53.26,61.98,-8.73,2026-09-18 15:00,51.49,40.44,11.05,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.49 >= 50
2026-09-18 15:16:30,AEROFLEX,,NSE_EQ|INE024001021,511.95,63.4,73.49,-10.09,2026-09-18 15:00,51.58,43.0,8.58,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.58 >= 50
2026-09-18 15:15:59,NSE:PARAS,,NSE_EQ|INE045601023,1373.7,63.55,68.15,-4.59,2026-09-18 15:00,51.72,52.06,-0.35,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.72 >= 50
2026-09-18 15:16:32,PARAS,Volume Shocker,NSE_EQ|INE045601023,1373.7,63.55,68.15,-4.59,2026-09-18 15:00,51.72,52.06,-0.35,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 51.72 >= 50
2026-09-18 15:15:31,NSE:GLENMARK,,NSE_EQ|INE935A01035,2410.9,60.88,61.58,-0.7,2026-09-18 15:00,52.19,54.09,-1.9,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.19 >= 50
2026-09-18 15:16:29,E2E,,NSE_EQ|INE255Z01027,602.55,68.7,70.02,-1.33,2026-09-18 15:00,52.36,55.24,-2.88,NO,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.36 >= 50
2026-09-18 15:15:11,NSE:CARTRADE,,NSE_EQ|INE290S01011,2986.6,64.51,69.06,-4.55,2026-09-18 15:00,52.49,44.95,7.53,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.49 >= 50
2026-09-18 15:16:39,CYIENT,Volume Shocker,NSE_EQ|INE136B01020,1072.9,62.58,61.55,1.03,2026-09-18 15:00,52.49,51.24,1.25,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.49 >= 50
2026-09-18 15:15:58,NSE:OFSS,,NSE_EQ|INE881D01027,11665.0,62.83,64.06,-1.23,2026-09-18 15:00,52.56,48.77,3.8,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.56 >= 50
2026-09-18 15:16:38,ENGINERSIN,Volume Shocker,NSE_EQ|INE510A01028,266.25,61.47,62.77,-1.3,2026-09-18 15:00,52.78,48.29,4.49,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 52.78 >= 50
2026-09-18 15:15:28,NSE:ENGINERSIN,,NSE_EQ|INE510A01028,266.35,61.52,62.77,-1.25,2026-09-18 15:00,53.01,48.29,4.72,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.01 >= 50
2026-09-18 15:15:22,NSE:DATAPATTNS,,NSE_EQ|INE0IX101010,4511.9,56.5,63.47,-6.97,2026-09-18 15:00,53.1,42.9,10.2,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.10 >= 50
2026-09-18 15:16:42,CARTRADE,Volume Shocker,NSE_EQ|INE290S01011,2992.7,64.77,69.06,-4.3,2026-09-18 15:00,53.44,44.95,8.49,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 53.44 >= 50
2026-09-18 15:15:33,NSE:GRANULES,,NSE_EQ|INE101D01020,875.45,63.3,69.69,-6.39,2026-09-18 15:00,54.08,52.47,1.61,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 54.08 >= 50
2026-09-18 15:16:11,NSE:SAREGAMA,,NSE_EQ|INE979A01025,499.9,62.05,64.05,-2.01,2026-09-18 15:00,54.11,48.45,5.66,YES,,,,,,,15m logic removed,WAIT,⏳ WAIT,Hourly RSI 54.11 >= 50
