Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-01 11:59:53,NSE:AFFLE,,NSE_EQ|INE00WC01027,1577.7,51.89,55.08,-3.19,2026-09-01 11:00,15.94,18.5,-2.56,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 51.89 > 50 + Hourly RSI 15.94 < 30
2026-09-01 12:01:20,AEGISLOG,All Time High,NSE_EQ|INE208C01025,1211.6,58.27,62.98,-4.71,2026-09-01 12:00,21.33,35.8,-14.47,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 58.27 > 50 + Hourly RSI 21.33 < 30
2026-09-01 11:59:52,NSE:AEGISLOG,,NSE_EQ|INE208C01025,1213.5,58.38,62.98,-4.6,2026-09-01 11:00,21.63,35.8,-14.17,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 58.38 > 50 + Hourly RSI 21.63 < 30
2026-09-01 12:00:15,NSE:DATAPATTNS,,NSE_EQ|INE0IX101010,4469.5,57.49,60.82,-3.33,2026-09-01 12:00,29.18,33.8,-4.62,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 57.49 > 50 + Hourly RSI 29.18 < 30
2026-09-01 12:00:43,NSE:NATIONALUM,,NSE_EQ|INE139A01034,375.45,52.38,58.22,-5.84,2026-09-01 12:00,31.07,37.77,-6.7,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 31.07 is 30-50
2026-09-01 12:01:15,NSE:ZENTEC,,NSE_EQ|INE251B01027,1765.1,53.28,55.92,-2.64,2026-09-01 12:00,31.49,34.89,-3.39,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 31.49 is 30-50
2026-09-01 12:00:27,NSE:IDEA,,NSE_EQ|INE669E01016,14.35,61.71,64.73,-3.02,2026-09-01 12:00,32.94,31.71,1.23,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 32.94 is 30-50
2026-09-01 12:00:08,NSE:CARTRADE,,NSE_EQ|INE290S01011,2973.8,66.09,67.83,-1.73,2026-09-01 12:00,33.15,35.91,-2.77,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.15 is 30-50
2026-09-01 12:01:31,CARTRADE,Volume Shocker,NSE_EQ|INE290S01011,2974.8,66.13,67.83,-1.69,2026-09-01 12:00,33.3,35.91,-2.62,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.30 is 30-50
2026-09-01 12:00:38,NSE:MAZDOCK,,NSE_EQ|INE249Z01020,2490.8,50.16,53.52,-3.37,2026-09-01 12:00,34.42,29.86,4.56,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 34.42 is 30-50
2026-09-01 12:00:25,NSE:HINDCOPPER,,NSE_EQ|INE531E01026,524.15,52.58,54.51,-1.94,2026-09-01 12:00,34.76,36.05,-1.29,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 34.76 is 30-50
2026-09-01 12:01:15,NSE:WOCKPHARMA,,NSE_EQ|INE049B01025,1872.2,55.71,61.55,-5.84,2026-09-01 12:00,35.67,38.41,-2.74,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.67 is 30-50
2026-09-01 11:59:49,NSE:AARTIIND,,NSE_EQ|INE769A01020,524.05,61.36,66.26,-4.9,2026-09-01 11:00,36.48,36.4,0.08,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 36.48 is 30-50
2026-09-01 12:01:01,NSE:STYL,,NSE_EQ|INE04VU01023,385.95,60.47,64.69,-4.23,2026-09-01 12:00,36.63,36.54,0.09,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 36.63 is 30-50
2026-09-01 12:00:51,NSE:PARAS,,NSE_EQ|INE045601023,1406.1,66.81,69.18,-2.37,2026-09-01 12:00,37.5,43.43,-5.93,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.50 is 30-50
2026-09-01 12:01:23,JYOTICNC,Trend Breakout,NSE_EQ|INE980O01024,985.95,64.15,70.38,-6.23,2026-09-01 12:00,37.69,42.3,-4.62,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.69 is 30-50
2026-09-01 12:01:21,PARAS,Volume Shocker,NSE_EQ|INE045601023,1407.0,66.87,69.18,-2.31,2026-09-01 12:00,37.7,43.43,-5.73,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.70 is 30-50
2026-09-01 12:00:35,NSE:LAURUSLABS,,NSE_EQ|INE947Q01028,1842.2,73.78,83.52,-9.74,2026-09-01 12:00,38.54,54.78,-16.24,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 38.54 is 30-50
2026-09-01 12:00:18,NSE:FINCABLES,,NSE_EQ|INE235A01022,1251.5,63.96,68.16,-4.2,2026-09-01 12:00,40.13,39.55,0.58,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.13 is 30-50
2026-09-01 12:00:20,NSE:HAL,,NSE_EQ|INE066F01020,4804.4,58.74,60.84,-2.09,2026-09-01 12:00,40.65,39.95,0.7,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.65 is 30-50
2026-09-01 12:00:42,NSE:MTARTECH,,NSE_EQ|INE864I01014,6924.0,58.87,59.71,-0.84,2026-09-01 12:00,40.66,46.69,-6.04,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.66 is 30-50
2026-09-01 12:00:47,NSE:NEULANDLAB,,NSE_EQ|INE794A01010,23025.0,75.16,76.61,-1.45,2026-09-01 12:00,41.93,36.73,5.2,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.93 is 30-50
2026-09-01 12:00:25,NSE:HINDZINC,,NSE_EQ|INE267A01025,598.0,54.35,58.39,-4.04,2026-09-01 12:00,43.31,40.67,2.64,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.31 is 30-50
2026-09-01 12:01:29,PAYTM,All Time High,NSE_EQ|INE982J01020,1649.6,74.91,75.05,-0.13,2026-09-01 12:00,43.69,66.73,-23.04,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.69 is 30-50
2026-09-01 12:00:52,NSE:PAYTM,,NSE_EQ|INE982J01020,1650.4,75.0,75.05,-0.05,2026-09-01 12:00,43.87,66.73,-22.86,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.87 is 30-50
2026-09-01 12:01:04,NSE:TBOTEK,,NSE_EQ|INE673O01025,1689.9,66.7,66.37,0.34,2026-09-01 12:00,44.63,60.35,-15.72,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 44.63 is 30-50
2026-09-01 12:01:41,ASTRAL,Volume Shocker,NSE_EQ|INE006I01046,1526.3,52.19,52.74,-0.56,2026-09-01 12:00,45.88,44.31,1.57,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 45.88 is 30-50
2026-09-01 11:59:50,NSE:ABB,,NSE_EQ|INE117A01022,7420.0,58.47,60.22,-1.75,2026-09-01 11:00,46.05,64.09,-18.04,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 46.05 is 30-50
