Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,15-Min Previous RSI,15-Min RSI Change,History Transition,Category,Signal,Reason
NSE:LAURUSLABS,Volume shockers,NSE_EQ|INE947Q01028,1787.3,79.62,86.3,-6.67,2026-08-14 17:00,30.54,55.08,-24.54,NO,30.54,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:LALPATHLAB,Volume shockers,NSE_EQ|INE600L01024,1916.3,72.68,74.36,-1.67,2026-08-14 17:00,33.52,58.88,-25.36,NO,31.75,1.77,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:ASHOKLEY,Volume shockers,NSE_EQ|INE208A01029,171.64,54.11,57.36,-3.25,2026-08-14 17:00,34.18,48.21,-14.03,NO,34.18,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:ASTERDM,Volume shockers,NSE_EQ|INE914M01019,824.0,60.86,69.34,-8.48,2026-08-14 17:00,34.96,32.23,2.73,YES,34.96,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50 and rising
NSE:AUROPHARMA,52 Week High,NSE_EQ|INE406A01037,1622.1,67.08,71.9,-4.81,2026-08-14 17:00,35.07,56.2,-21.12,NO,35.07,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:TVSMOTOR,Volume shockers,NSE_EQ|INE494B01023,4307.0,67.22,72.44,-5.22,2026-08-14 17:00,36.81,43.27,-6.46,NO,36.81,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:UNOMINDA,Volume shockers,NSE_EQ|INE405E01023,1240.0,58.5,63.69,-5.19,2026-08-14 17:00,37.26,37.26,-0.0,NO,,,FIRST SCAN,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:ZYDUSLIFE,Volume shockers,NSE_EQ|INE010B01027,1135.2,65.38,63.0,2.38,2026-08-14 17:00,37.92,51.83,-13.91,NO,37.92,0.0,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:BHARATFORG,52 Week High,NSE_EQ|INE465A01025,2065.0,57.47,73.24,-15.77,2026-08-14 17:00,37.95,44.11,-6.16,NO,37.95,-0.0,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:EXIDEIND,52 Week High,NSE_EQ|INE302A01020,476.1,72.73,78.45,-5.73,2026-08-14 17:00,38.28,49.83,-11.55,NO,37.98,0.3,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:LLOYDSME,Volume shockers,NSE_EQ|INE281B01032,1918.6,63.36,79.62,-16.26,2026-08-14 17:00,39.37,31.99,7.38,YES,39.51,-0.14,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50 and rising
NSE:AEGISLOG,Volume shockers,NSE_EQ|INE208C01025,1265.4,66.7,75.7,-9.0,2026-08-14 17:00,39.69,27.92,11.77,YES,38.97,0.72,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50 and rising
NSE:AKUMS,Volume shockers,NSE_EQ|INE09XN01023,726.6,70.82,68.24,2.58,2026-08-14 17:00,39.79,60.48,-20.69,NO,38.86,0.93,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:TORNTPHARM,Volume shockers,NSE_EQ|INE685A01028,4833.0,61.07,64.59,-3.52,2026-08-14 17:00,39.85,56.61,-16.76,NO,39.85,-0.0,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:SONACOMS,Volume shockers,NSE_EQ|INE073K01018,792.0,76.36,82.84,-6.49,2026-08-14 17:00,40.04,47.74,-7.71,NO,40.04,-0.0,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:POLYMED,Volume shockers,NSE_EQ|INE205C01021,1786.2,60.69,56.14,4.55,2026-08-14 17:00,40.45,46.08,-5.63,NO,39.8,0.65,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:SCHNEIDER,Volume shockers,NSE_EQ|INE839M01018,1369.2,61.78,61.11,0.67,2026-08-14 17:00,41.61,46.29,-4.67,NO,41.9,-0.29,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:IPCALAB,Volume shockers,NSE_EQ|INE571A01038,1734.2,57.98,58.11,-0.13,2026-08-14 17:00,42.3,61.19,-18.89,NO,42.05,0.25,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:GRANULES,52 Week High,NSE_EQ|INE101D01020,854.0,65.65,69.39,-3.74,2026-08-14 17:00,43.15,44.53,-1.38,NO,43.15,-0.0,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:J&KBANK,Volume shockers,NSE_EQ|INE168A01041,155.48,55.42,57.47,-2.04,2026-08-14 17:00,43.66,50.77,-7.11,NO,42.18,1.48,30-50 + RISING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:APARINDS,Volume shockers,NSE_EQ|INE372A01015,16691.0,71.5,71.31,0.19,2026-08-14 17:00,43.94,55.47,-11.53,NO,44.07,-0.13,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
NSE:HEROMOTOCO,Volume shockers,NSE_EQ|INE158A01026,5790.0,63.8,62.71,1.09,2026-08-14 17:00,43.96,51.98,-8.02,NO,43.96,-0.0,30-50 + FALLING,WATCH,👀 WATCH,Hourly RSI 30-50
