Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-01 14:14:54,NSE:AFFLE,,NSE_EQ|INE00WC01027,1559.0,50.61,55.08,-4.48,2026-09-01 14:00,13.17,18.5,-5.33,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 50.61 > 50 + Hourly RSI 13.17 < 30
2026-09-01 14:14:53,NSE:AEGISLOG,,NSE_EQ|INE208C01025,1199.9,57.62,62.98,-5.36,2026-09-01 14:00,19.66,35.8,-16.14,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 57.62 > 50 + Hourly RSI 19.66 < 30
2026-09-01 14:16:21,AEGISLOG,All Time High,NSE_EQ|INE208C01025,1200.5,57.65,62.98,-5.33,2026-09-01 14:00,19.74,35.8,-16.06,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 57.65 > 50 + Hourly RSI 19.74 < 30
2026-09-01 14:15:29,NSE:IDEA,,NSE_EQ|INE669E01016,14.03,59.03,64.73,-5.7,2026-09-01 14:00,24.86,31.71,-6.85,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 59.03 > 50 + Hourly RSI 24.86 < 30
2026-09-01 14:15:16,NSE:DATAPATTNS,,NSE_EQ|INE0IX101010,4429.9,56.7,60.82,-4.12,2026-09-01 14:00,26.2,33.8,-7.6,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 56.70 > 50 + Hourly RSI 26.20 < 30
2026-09-01 14:15:44,NSE:NATIONALUM,,NSE_EQ|INE139A01034,369.7,50.88,58.22,-7.35,2026-09-01 14:00,26.59,37.77,-11.18,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 50.88 > 50 + Hourly RSI 26.59 < 30
2026-09-01 14:16:16,NSE:ZENTEC,,NSE_EQ|INE251B01027,1741.2,52.21,55.92,-3.71,2026-09-01 14:00,27.24,34.89,-7.65,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 52.21 > 50 + Hourly RSI 27.24 < 30
2026-09-01 14:16:32,CARTRADE,Volume Shocker,NSE_EQ|INE290S01011,2942.4,64.82,67.83,-3.01,2026-09-01 14:00,29.06,35.91,-6.85,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 64.82 > 50 + Hourly RSI 29.06 < 30
2026-09-01 14:15:10,NSE:CARTRADE,,NSE_EQ|INE290S01011,2946.6,64.99,67.83,-2.84,2026-09-01 14:00,29.55,35.91,-6.37,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 64.99 > 50 + Hourly RSI 29.55 < 30
2026-09-01 14:15:26,NSE:HINDCOPPER,,NSE_EQ|INE531E01026,518.0,51.38,54.51,-3.13,2026-09-01 14:00,29.74,36.05,-6.31,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 51.38 > 50 + Hourly RSI 29.74 < 30
2026-09-01 14:16:15,NSE:WOCKPHARMA,,NSE_EQ|INE049B01025,1837.0,53.99,61.55,-7.55,2026-09-01 14:00,29.82,38.41,-8.58,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 53.99 > 50 + Hourly RSI 29.82 < 30
2026-09-01 14:15:43,NSE:MTARTECH,,NSE_EQ|INE864I01014,6773.5,57.22,59.71,-2.49,2026-09-01 14:00,30.51,46.69,-16.19,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 30.51 is 30-50
2026-09-01 14:16:22,PARAS,Volume Shocker,NSE_EQ|INE045601023,1371.5,64.53,69.18,-4.65,2026-09-01 14:00,31.09,43.43,-12.34,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 31.09 is 30-50
