Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-21 12:30:56,CUPID,"Volume Shocker, 52 Week High",NSE_EQ|INE509F01029,257.15,71.41,75.72,-4.31,2026-09-21 12:00,14.61,18.22,-3.62,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 71.41 > 50 + Hourly RSI 14.61 < 30
2026-09-21 12:29:50,CPPLUS,IPO,NSE_EQ|INE819V01029,3380.5,57.65,57.13,0.52,2026-09-21 12:00,35.4,31.06,4.34,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.40 is 30-50
2026-09-21 12:30:28,MANYAVAR,Volume Shocker,NSE_EQ|INE825V01034,539.6,59.7,60.74,-1.04,2026-09-21 12:00,35.46,40.38,-4.91,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.46 is 30-50
2026-09-21 12:29:58,NSE:KALYANKJIL,Nifty-500-Top-4,NSE_EQ|INE303R01014,579.95,63.22,63.67,-0.45,2026-09-21 12:00,37.38,39.4,-2.02,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.38 is 30-50
2026-09-21 12:30:04,NSE:SUNDRMFAST,Nifty-500-Top-9,NSE_EQ|INE387A01021,1211.4,70.49,73.2,-2.7,2026-09-21 12:00,37.79,44.42,-6.63,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.79 is 30-50
2026-09-21 12:30:27,BALRAMCHIN,All Time High,NSE_EQ|INE119A01028,664.7,61.94,63.48,-1.55,2026-09-21 12:00,39.71,49.72,-10.01,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 39.71 is 30-50
2026-09-21 12:30:57,SKFINDUS,Volume Shocker,NSE_EQ|INE2J8701016,2884.9,57.98,62.64,-4.66,2026-09-21 12:00,41.74,51.11,-9.37,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.74 is 30-50
2026-09-21 12:30:24,CARTRADE,Volume Shocker,NSE_EQ|INE290S01011,2941.5,62.53,64.61,-2.08,2026-09-21 12:00,42.19,49.71,-7.52,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.19 is 30-50
2026-09-21 12:30:07,SUDEEPPHRM,,NSE_EQ|INE0QPI01025,1134.2,63.51,65.24,-1.73,2026-09-21 12:00,47.72,54.24,-6.52,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.72 is 30-50
2026-09-21 12:30:06,E2E,,NSE_EQ|INE255Z01027,599.95,68.17,69.56,-1.39,2026-09-21 12:00,48.02,55.11,-7.1,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 48.02 is 30-50
