Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-23 14:00:24,ATHERENERG,Other,NSE_EQ|INE0LEZ01016,1490.0,65.12,77.41,-12.29,2026-09-23 14:00,24.28,35.57,-11.28,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 65.12 > 50 + Hourly RSI 24.28 < 30
2026-09-23 14:00:38,MANYAVAR,Volume Shocker,NSE_EQ|INE825V01034,534.6,58.6,60.73,-2.12,2026-09-23 14:00,39.63,35.74,3.89,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 39.63 is 30-50
2026-09-23 14:00:49,GLAND,"Volume Shocker, 52 Week High, All Time High, Strong Momentum, Pullback Entry",NSE_EQ|INE068V01023,2898.4,69.97,73.89,-3.92,2026-09-23 14:00,40.71,43.17,-2.46,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.71 is 30-50
2026-09-23 13:59:58,NSE:PFOCUS,Nifty Smallcap 250-TOP-2,NSE_EQ|INE367G01038,335.15,64.97,68.16,-3.19,2026-09-23 13:00,41.07,67.97,-26.9,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.07 is 30-50
2026-09-23 14:00:32,PAYTM,All Time High,NSE_EQ|INE982J01020,1774.5,73.46,80.78,-7.31,2026-09-23 14:00,41.41,56.35,-14.94,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.41 is 30-50
2026-09-23 14:00:09,NSE:PAYTM,Nifty-500-Top-2,NSE_EQ|INE982J01020,1774.7,73.48,80.78,-7.3,2026-09-23 14:00,41.47,56.35,-14.89,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.47 is 30-50
2026-09-23 14:00:51,ALIVUS,"Trend Breakout, Volume Shocker, All Time High",NSE_EQ|INE03Q201024,1380.2,69.67,77.45,-7.78,2026-09-23 14:00,41.58,37.94,3.64,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.58 is 30-50
2026-09-23 14:01:01,PINELABS,Volume Shocker,NSE_EQ|INE15B701018,189.21,55.6,56.77,-1.17,2026-09-23 14:00,43.65,61.39,-17.74,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.65 is 30-50
2026-09-23 14:01:13,BLUESTONE,"Volume Shocker, 52 Week High",NSE_EQ|INE304W01038,843.0,67.07,66.02,1.05,2026-09-23 14:00,44.04,77.48,-33.44,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 44.04 is 30-50
2026-09-23 14:00:07,NSE:SAPPHIRE,Nifty Smallcap 250-TOP-9,NSE_EQ|INE806T01020,232.85,60.27,59.34,0.93,2026-09-23 14:00,47.14,55.24,-8.09,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 47.14 is 30-50
