Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-24 13:45:08,NSE:ANANTRAJ,,NSE_EQ|INE242C01024,617.7,59.24,60.65,-1.41,2026-08-24 13:00,30.61,36.98,-6.37,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 30.61 is 30-50
2026-08-24 13:45:37,NSE:HAL,,NSE_EQ|INE066F01020,4882.2,61.59,66.2,-4.61,2026-08-24 13:00,31.84,46.85,-15.01,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 31.84 is 30-50
2026-08-24 13:46:11,NSE:NEULANDLAB,,NSE_EQ|INE794A01010,22948.0,74.7,77.34,-2.64,2026-08-24 13:00,33.06,44.77,-11.71,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.06 is 30-50
2026-08-24 13:46:07,NSE:NAZARA,,NSE_EQ|INE418L01047,351.5,70.33,71.92,-1.58,2026-08-24 13:00,33.75,40.98,-7.23,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.75 is 30-50
2026-08-24 13:46:40,NSE:TORNTPHARM,,NSE_EQ|INE685A01028,4883.0,62.04,62.6,-0.56,2026-08-24 13:00,33.76,36.25,-2.49,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 33.76 is 30-50
2026-08-24 13:46:22,NSE:RADICO,,NSE_EQ|INE944F01028,4606.0,83.79,86.01,-2.22,2026-08-24 13:00,34.46,42.45,-7.99,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 34.46 is 30-50
2026-08-24 13:45:11,NSE:ASTRAMICRO,,NSE_EQ|INE386C01029,1663.2,62.2,62.15,0.04,2026-08-24 13:00,35.11,34.25,0.86,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.11 is 30-50
2026-08-24 13:46:39,NSE:TIPSMUSIC,,NSE_EQ|INE716B01029,643.8,51.4,52.49,-1.1,2026-08-24 13:00,35.95,45.13,-9.18,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.95 is 30-50
2026-08-24 13:45:17,NSE:BEML,,NSE_EQ|INE258A01024,1919.5,57.78,58.91,-1.13,2026-08-24 13:00,35.98,42.32,-6.34,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 35.98 is 30-50
2026-08-24 13:46:03,NSE:MTARTECH,,NSE_EQ|INE864I01014,6850.5,58.17,60.06,-1.89,2026-08-24 13:00,36.56,51.23,-14.67,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 36.56 is 30-50
2026-08-24 13:45:21,NSE:CAPLIPOINT,,NSE_EQ|INE475E01026,2500.0,63.94,68.16,-4.22,2026-08-24 13:00,37.12,63.65,-26.52,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.12 is 30-50
2026-08-24 13:46:13,NSE:OFSS,,NSE_EQ|INE881D01027,11609.0,65.34,66.76,-1.42,2026-08-24 13:00,37.42,46.33,-8.91,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.42 is 30-50
2026-08-24 13:46:00,NSE:MAZDOCK,,NSE_EQ|INE249Z01020,2540.9,52.81,53.38,-0.57,2026-08-24 13:00,37.66,42.41,-4.75,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 37.66 is 30-50
2026-08-24 13:45:34,NSE:GLAND,,NSE_EQ|INE068V01023,2797.5,70.17,71.31,-1.14,2026-08-24 13:00,38.45,41.64,-3.19,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 38.45 is 30-50
2026-08-24 13:46:38,NSE:TATATECH,,NSE_EQ|INE142M01025,811.65,61.77,63.16,-1.39,2026-08-24 13:00,38.66,45.86,-7.2,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 38.66 is 30-50
2026-08-24 13:46:23,NSE:RKFORGE,,NSE_EQ|INE399G01023,736.75,72.71,72.78,-0.07,2026-08-24 13:00,39.87,36.72,3.16,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 39.87 is 30-50
2026-08-24 13:46:02,NSE:MIDHANI,,NSE_EQ|INE099Z01011,419.4,55.84,57.17,-1.33,2026-08-24 13:00,40.25,45.71,-5.46,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 40.25 is 30-50
2026-08-24 13:46:06,NSE:NAVINFLUOR,,NSE_EQ|INE048G01026,8191.0,73.9,74.43,-0.53,2026-08-24 13:00,41.22,39.8,1.41,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.22 is 30-50
2026-08-24 13:45:01,NSE:ADANIENT,,NSE_EQ|INE423A01024,2983.4,61.31,62.13,-0.83,2026-08-24 13:00,41.71,49.09,-7.39,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.71 is 30-50
2026-08-24 13:45:07,NSE:ANANDRATHI,,NSE_EQ|INE463V01026,2168.0,73.09,75.43,-2.34,2026-08-24 13:00,41.74,54.77,-13.02,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.74 is 30-50
2026-08-24 13:46:26,NSE:SAILIFE,,NSE_EQ|INE570L01029,1438.4,77.33,80.51,-3.18,2026-08-24 13:00,41.87,52.84,-10.97,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.87 is 30-50
2026-08-24 13:46:32,NSE:SONACOMS,,NSE_EQ|INE073K01018,809.0,76.06,78.16,-2.11,2026-08-24 13:00,41.9,50.0,-8.1,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 41.90 is 30-50
2026-08-24 13:45:55,NSE:KIRLOSENG,,NSE_EQ|INE146L01010,2080.7,58.1,59.01,-0.91,2026-08-24 13:00,42.13,48.15,-6.03,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.13 is 30-50
2026-08-24 13:46:35,NSE:STYL,,NSE_EQ|INE04VU01023,389.1,62.39,63.29,-0.9,2026-08-24 13:00,42.31,44.1,-1.78,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.31 is 30-50
2026-08-24 13:46:28,NSE:SAREGAMA,,NSE_EQ|INE979A01025,510.25,66.6,65.94,0.66,2026-08-24 13:00,42.37,34.02,8.34,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.37 is 30-50
2026-08-24 13:46:51,NSE:ZYDUSLIFE,,NSE_EQ|INE010B01027,1103.6,58.99,62.26,-3.27,2026-08-24 13:00,42.48,53.03,-10.54,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 42.48 is 30-50
2026-08-24 13:45:18,NSE:BHARATFORG,,NSE_EQ|INE465A01025,2048.1,56.29,57.33,-1.04,2026-08-24 13:00,43.34,50.24,-6.9,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Hourly RSI 43.34 is 30-50
